,node,degree,avg_degree,std_degree,closeness,avg_closeness,std_closeness,betweenness,avg_betweenness,std_betweenness,triangle_count,avg_triangle_count,std_triangle_count,clustering_coefficient,avg_clustering_coefficient,std_clustering_coefficient,community,within_1m_population,within_2m_population,within_3m_population,within_4m_population,within_5m_population
0,12th Street,3,2.04,0.4932193286180591,0.2333,0.169662,0.03310398514760815,1116,470.44,354.982561227323,1,0.12,0.32826072265931594,0.3333,0.066664,0.21295544782696607,29,16062.0,175958.0,298398.0,367715.0,510498.0
1,16th Street Mission,2,2.04,0.4932193286180591,0.1712,0.169662,0.03310398514760815,720,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,10,63489.0,339093.0,554106.0,826249.0,870044.0
2,19th Street,2,2.04,0.4932193286180591,0.2195,0.169662,0.03310398514760815,1088,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,46,16062.0,165215.0,298398.0,420109.0,576172.0
3,24th Street Mission,2,2.04,0.4932193286180591,0.1663,0.169662,0.03310398514760815,656,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,10,108915.0,315201.0,621661.0,823185.0,989138.0
4,Antioch,1,2.04,0.4932193286180591,0.1069,0.169662,0.03310398514760815,0,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,31,0.0,66933.0,110721.0,110721.0,152632.0
5,Ashby,2,2.04,0.4932193286180591,0.1986,0.169662,0.03310398514760815,440,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,2,68219.0,173897.0,226433.0,361437.0,487206.0
6,Balboa Park,2,2.04,0.4932193286180591,0.1574,0.169662,0.03310398514760815,516,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,14,106589.0,253123.0,548413.0,737525.0,936912.0
7,Bay Fair,3,2.04,0.4932193286180591,0.2093,0.169662,0.03310398514760815,822,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,23,41059.0,93041.0,286050.0,286050.0,457901.0
8,Berryessa,1,2.04,0.4932193286180591,0.1101,0.169662,0.03310398514760815,0,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,45,28726.0,197640.0,293347.0,334690.0,559010.0
9,Castro Valley,2,2.04,0.4932193286180591,0.1799,0.169662,0.03310398514760815,188,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,23,0.0,110328.0,165604.0,290193.0,403433.0
